date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200531,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200601,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200602,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200603,6.5,0.02,43.94,63.57,53.2,49.53,MA 
20200604,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200605,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200606,6.5,0.77,43.94,63.57,53.2,49.53,MA 
20200607,6.5,0.02,43.94,63.57,53.2,49.53,MA 
20200608,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200609,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200610,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200611,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200612,6.5,0.37,43.94,63.57,53.2,49.53,MA 
20200613,6.5,0.04,43.94,63.57,53.2,49.53,MA 
20200614,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200615,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200616,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200617,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200618,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200619,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200620,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200621,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200622,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200623,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200624,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200625,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200626,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200627,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200628,6.5,0.8,43.94,63.57,53.2,49.53,MA 
20200629,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200630,6.5,0.07,43.94,63.57,53.2,49.53,MA 
20200701,6.88,0.19,43.94,63.57,53.2,49.53,MA 
20200702,6.88,0.01,43.94,63.57,53.2,49.53,MA 
20200703,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200704,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200705,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200706,6.88,0.02,43.94,63.57,53.2,49.53,MA 
20200707,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200708,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200709,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200710,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200711,6.88,0.02,43.94,63.57,53.2,49.53,MA 
20200712,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200713,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200714,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200715,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200716,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200717,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200718,6.88,0.11,43.94,63.57,53.2,49.53,MA 
20200719,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200720,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200305,9.5,0.13,43.94,63.57,53.2,49.53,MA 
20200306,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200307,9.5,0.1,43.94,63.57,53.2,49.53,MA 
20200308,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200309,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200310,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200311,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200312,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200313,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200314,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200315,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200316,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200317,9.5,0.23,43.94,63.57,53.2,49.53,MA 
20200318,9.5,0.2,43.94,63.57,53.2,49.53,MA 
20200319,9.5,0.24,43.94,63.57,53.2,49.53,MA 
20200320,9.5,0.93,43.94,63.57,53.2,49.53,MA 
20200321,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200322,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200323,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200324,9.5,1.27,43.94,63.57,53.2,49.53,MA 
20200325,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200326,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200327,9.5,0.02,43.94,63.57,53.2,49.53,MA 
20200328,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200329,9.5,0.12,43.94,63.57,53.2,49.53,MA 
20200330,9.5,0.35,43.94,63.57,53.2,49.53,MA 
20200331,9.5,0.02,43.94,63.57,53.2,49.53,MA 
20200401,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200402,10.34,0.32,43.94,63.57,53.2,49.53,MA 
20200403,10.34,1.18,43.94,63.57,53.2,49.53,MA 
20200404,10.34,0.07,43.94,63.57,53.2,49.53,MA 
20200405,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200406,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200407,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200408,10.34,0.07,43.94,63.57,53.2,49.53,MA 
20200409,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200410,10.34,0.25,43.94,63.57,53.2,49.53,MA 
20200411,10.34,0.02,43.94,63.57,53.2,49.53,MA 
20200412,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200413,10.34,0.03,43.94,63.57,53.2,49.53,MA 
20200414,10.34,0.26,43.94,63.57,53.2,49.53,MA 
20200415,10.34,0.27,43.94,63.57,53.2,49.53,MA 
20200416,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200417,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200418,10.34,0.88,43.94,63.57,53.2,49.53,MA 
20200419,10.34,0.09,43.94,63.57,53.2,49.53,MA 
20200420,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200421,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200422,10.34,0.11,43.94,63.57,53.2,49.53,MA 
20200423,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200424,10.34,0.78,43.94,63.57,53.2,49.53,MA 
20200425,10.34,0.26,43.94,63.57,53.2,49.53,MA 
20200426,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200427,10.34,1.25,43.94,63.57,53.2,49.53,MA 
20200428,10.34,0.16,43.94,63.57,53.2,49.53,MA 
20200429,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200430,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200501,9.33,0.75,43.94,63.57,53.2,49.53,MA 
20200502,9.33,0.08,43.94,63.57,53.2,49.53,MA 
20200503,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200504,9.33,0.02,43.94,63.57,53.2,49.53,MA 
20200505,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200506,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200507,9.33,0.5,43.94,63.57,53.2,49.53,MA 
20200508,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200509,9.33,0.33,43.94,63.57,53.2,49.53,MA 
20200510,9.33,0.01,43.94,63.57,53.2,49.53,MA 
20200511,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200512,9.33,0.06,43.94,63.57,53.2,49.53,MA 
20200513,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200514,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200515,9.33,0.04,43.94,63.57,53.2,49.53,MA 
20200516,9.33,0.25,43.94,63.57,53.2,49.53,MA 
20200517,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200518,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200519,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200520,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200521,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200522,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200523,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200524,9.33,0.03,43.94,63.57,53.2,49.53,MA 
20200525,9.33,0.01,43.94,63.57,53.2,49.53,MA 
20200526,9.33,0.01,43.94,63.57,53.2,49.53,MA 
20200527,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200528,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200529,9.33,0.07,43.94,63.57,53.2,49.53,MA 
20200530,9.33,0.07,43.94,63.57,53.2,49.53,MA 
20200531,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200601,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200602,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200603,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200604,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200605,6.5,0.03,43.94,63.57,53.2,49.53,MA 
20200606,6.5,0.5,43.94,63.57,53.2,49.53,MA 
20200607,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200608,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200609,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200610,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200611,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200612,6.5,0.04,43.94,63.57,53.2,49.53,MA 
20200613,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200614,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200615,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200616,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200617,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200618,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200619,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200620,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200621,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200622,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200623,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200624,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200625,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200626,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200627,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200628,6.5,0.71,43.94,63.57,53.2,49.53,MA 
20200629,6.5,0.45,43.94,63.57,53.2,49.53,MA 
20200630,6.5,0.03,43.94,63.57,53.2,49.53,MA 
20200701,6.88,0.03,43.94,63.57,53.2,49.53,MA 
20200702,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200703,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200704,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200705,6.88,0.02,43.94,63.57,53.2,49.53,MA 
20200706,6.88,0.25,43.94,63.57,53.2,49.53,MA 
20200707,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200708,6.88,0.01,43.94,63.57,53.2,49.53,MA 
20200709,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200710,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200711,6.88,0.17,43.94,63.57,53.2,49.53,MA 
20200712,6.88,0.01,43.94,63.57,53.2,49.53,MA 
20200713,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200714,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200715,6.88,0.02,43.94,63.57,53.2,49.53,MA 
20200716,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200717,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200718,6.88,0.25,43.94,63.57,53.2,49.53,MA 
20200719,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200720,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200301,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200302,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200303,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200304,9.5,0.18,43.94,63.57,53.2,49.53,MA 
20200305,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200306,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200307,9.5,0.22,43.94,63.57,53.2,49.53,MA 
20200308,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200309,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200310,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200311,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200312,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200313,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200314,9.5,0.15,43.94,63.57,53.2,49.53,MA 
20200315,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200316,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200317,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200318,9.5,0.43,43.94,63.57,53.2,49.53,MA 
20200319,9.5,0.06,43.94,63.57,53.2,49.53,MA 
20200320,9.5,0.86,43.94,63.57,53.2,49.53,MA 
20200321,9.5,0.02,43.94,63.57,53.2,49.53,MA 
20200322,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200323,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200324,9.5,0.75,43.94,63.57,53.2,49.53,MA 
20200325,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200326,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200327,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200328,9.5,0.01,43.94,63.57,53.2,49.53,MA 
20200329,9.5,0.4,43.94,63.57,53.2,49.53,MA 
20200330,9.5,0.2,43.94,63.57,53.2,49.53,MA 
20200331,9.5,0.04,43.94,63.57,53.2,49.53,MA 
20200401,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200402,10.34,0.07,43.94,63.57,53.2,49.53,MA 
20200403,10.34,0.23,43.94,63.57,53.2,49.53,MA 
20200404,10.34,0.83,43.94,63.57,53.2,49.53,MA 
20200405,10.34,0.02,43.94,63.57,53.2,49.53,MA 
20200406,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200407,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200408,10.34,0.03,43.94,63.57,53.2,49.53,MA 
20200409,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200410,10.34,0.17,43.94,63.57,53.2,49.53,MA 
20200411,10.34,0.03,43.94,63.57,53.2,49.53,MA 
20200412,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200413,10.34,0.04,43.94,63.57,53.2,49.53,MA 
20200414,10.34,0.45,43.94,63.57,53.2,49.53,MA 
20200415,10.34,0.19,43.94,63.57,53.2,49.53,MA 
20200416,10.34,0.04,43.94,63.57,53.2,49.53,MA 
20200417,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200418,10.34,0.62,43.94,63.57,53.2,49.53,MA 
20200419,10.34,0.09,43.94,63.57,53.2,49.53,MA 
20200420,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200421,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200422,10.34,0.13,43.94,63.57,53.2,49.53,MA 
20200423,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200424,10.34,0.26,43.94,63.57,53.2,49.53,MA 
20200425,10.34,0.23,43.94,63.57,53.2,49.53,MA 
20200426,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200427,10.34,0.66,43.94,63.57,53.2,49.53,MA 
20200428,10.34,0.26,43.94,63.57,53.2,49.53,MA 
20200429,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200430,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200501,9.33,0.68,43.94,63.57,53.2,49.53,MA 
20200502,9.33,0.49,43.94,63.57,53.2,49.53,MA 
20200503,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200504,9.33,0.01,43.94,63.57,53.2,49.53,MA 
20200505,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200506,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200507,9.33,0.3,43.94,63.57,53.2,49.53,MA 
20200508,9.33,0.01,43.94,63.57,53.2,49.53,MA 
20200509,9.33,0.26,43.94,63.57,53.2,49.53,MA 
20200510,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200511,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200512,9.33,0.08,43.94,63.57,53.2,49.53,MA 
20200513,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200514,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200515,9.33,0.09,43.94,63.57,53.2,49.53,MA 
20200516,9.33,0.22,43.94,63.57,53.2,49.53,MA 
20200517,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200518,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200519,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200520,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200521,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200522,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200523,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200524,9.33,0.91,43.94,63.57,53.2,49.53,MA 
20200525,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200526,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200527,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200528,9.33,0.02,43.94,63.57,53.2,49.53,MA 
20200529,9.33,0.09,43.94,63.57,53.2,49.53,MA 
20200530,9.33,0.03,43.94,63.57,53.2,49.53,MA 
20200531,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200601,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200602,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200603,6.5,0.02,43.94,63.57,53.2,49.53,MA 
20200604,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200605,6.5,0.01,43.94,63.57,53.2,49.53,MA 
20200606,6.5,0.63,43.94,63.57,53.2,49.53,MA 
20200607,6.5,0.03,43.94,63.57,53.2,49.53,MA 
20200608,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200609,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200610,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200611,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200612,6.5,0.45,43.94,63.57,53.2,49.53,MA 
20200613,6.5,0.03,43.94,63.57,53.2,49.53,MA 
20200614,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200615,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200616,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200617,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200618,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200619,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200620,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200621,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200622,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200623,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200624,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200625,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200626,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200627,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200628,6.5,0.64,43.94,63.57,53.2,49.53,MA 
20200629,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200630,6.5,0.07,43.94,63.57,53.2,49.53,MA 
20200701,6.88,0.24,43.94,63.57,53.2,49.53,MA 
20200702,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200703,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200704,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200705,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200706,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200707,6.88,0.03,43.94,63.57,53.2,49.53,MA 
20200708,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200709,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200710,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200711,6.88,0.17,43.94,63.57,53.2,49.53,MA 
20200712,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200713,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200714,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200715,6.88,0.01,43.94,63.57,53.2,49.53,MA 
20200716,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200717,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200718,6.88,0.11,43.94,63.57,53.2,49.53,MA 
20200719,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200720,6.88,0.0,43.94,63.57,53.2,49.53,MA 
20200302,9.5,0.13,43.94,63.57,53.2,49.53,MA 
20200303,9.5,0.01,43.94,63.57,53.2,49.53,MA 
20200304,9.5,0.1,43.94,63.57,53.2,49.53,MA 
20200330,9.5,0.13,43.94,63.57,53.2,49.53,MA 
20200331,9.5,0.04,43.94,63.57,53.2,49.53,MA 
20200401,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200404,10.34,0.19,43.94,63.57,53.2,49.53,MA 
20200406,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200409,10.34,0.19,43.94,63.57,53.2,49.53,MA 
20200413,10.34,0.31,43.94,63.57,53.2,49.53,MA 
20200414,10.34,0.97,43.94,63.57,53.2,49.53,MA 
20200418,10.34,0.43,43.94,63.57,53.2,49.53,MA 
20200419,10.34,0.02,43.94,63.57,53.2,49.53,MA 
20200424,10.34,0.3,43.94,63.57,53.2,49.53,MA 
20200425,10.34,0.1,43.94,63.57,53.2,49.53,MA 
20200427,10.34,0.2,43.94,63.57,53.2,49.53,MA 
20200428,10.34,0.1,43.94,63.57,53.2,49.53,MA 
20200430,10.34,0.25,43.94,63.57,53.2,49.53,MA 
20200501,9.33,1.4,43.94,63.57,53.2,49.53,MA 
20200502,9.33,0.25,43.94,63.57,53.2,49.53,MA 
20200507,9.33,0.02,43.94,63.57,53.2,49.53,MA 
20200508,9.33,0.0,43.94,63.57,53.2,49.53,MA 
20200512,9.33,0.17,43.94,63.57,53.2,49.53,MA 
20200516,9.33,0.42,43.94,63.57,53.2,49.53,MA 
20200518,9.33,0.04,43.94,63.57,53.2,49.53,MA 
20200523,9.33,0.02,43.94,63.57,53.2,49.53,MA 
20200525,9.33,0.01,43.94,63.57,53.2,49.53,MA 
20200530,9.33,0.02,43.94,63.57,53.2,49.53,MA 
20200603,6.5,0.02,43.94,63.57,53.2,49.53,MA 
20200608,6.5,0.09,43.94,63.57,53.2,49.53,MA 
20200611,6.5,0.02,43.94,63.57,53.2,49.53,MA 
20200612,6.5,0.18,43.94,63.57,53.2,49.53,MA 
20200613,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200614,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200615,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200616,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200617,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200618,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200619,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200620,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200621,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200622,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200623,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200624,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200625,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200626,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200627,6.5,0.0,43.94,63.57,53.2,49.53,MA 
20200628,6.5,0.33,43.94,63.57,53.2,49.53,MA 
20200629,6.5,0.57,43.94,63.57,53.2,49.53,MA 
20200630,6.5,0.34,43.94,63.57,53.2,49.53,MA 
20200701,6.88,0.32,43.94,63.57,53.2,49.53,MA 
20200704,6.88,0.97,43.94,63.57,53.2,49.53,MA 
20200707,6.88,1.5,43.94,63.57,53.2,49.53,MA 
20200709,6.88,0.02,43.94,63.57,53.2,49.53,MA 
20200711,6.88,0.26,43.94,63.57,53.2,49.53,MA 
20200714,6.88,0.41,43.94,63.57,53.2,49.53,MA 
20200301,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200302,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200303,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200304,9.5,0.21,43.94,63.57,53.2,49.53,MA 
20200305,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200306,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200307,9.5,0.23,43.94,63.57,53.2,49.53,MA 
20200308,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200309,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200310,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200311,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200312,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200313,9.5,0.01,43.94,63.57,53.2,49.53,MA 
20200314,9.5,0.17,43.94,63.57,53.2,49.53,MA 
20200315,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200316,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200317,9.5,0.05,43.94,63.57,53.2,49.53,MA 
20200318,9.5,0.41,43.94,63.57,53.2,49.53,MA 
20200319,9.5,0.11,43.94,63.57,53.2,49.53,MA 
20200320,9.5,1.14,43.94,63.57,53.2,49.53,MA 
20200321,9.5,0.02,43.94,63.57,53.2,49.53,MA 
20200322,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200323,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200324,9.5,1.03,43.94,63.57,53.2,49.53,MA 
20200325,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200326,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200327,9.5,0.0,43.94,63.57,53.2,49.53,MA 
20200328,9.5,0.01,43.94,63.57,53.2,49.53,MA 
20200329,9.5,0.51,43.94,63.57,53.2,49.53,MA 
20200330,9.5,0.34,43.94,63.57,53.2,49.53,MA 
20200331,9.5,0.06,43.94,63.57,53.2,49.53,MA 
20200401,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200402,10.34,0.14,43.94,63.57,53.2,49.53,MA 
20200403,10.34,0.51,43.94,63.57,53.2,49.53,MA 
20200404,10.34,0.81,43.94,63.57,53.2,49.53,MA 
20200405,10.34,0.02,43.94,63.57,53.2,49.53,MA 
20200406,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200407,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200408,10.34,0.03,43.94,63.57,53.2,49.53,MA 
20200409,10.34,0.01,43.94,63.57,53.2,49.53,MA 
20200410,10.34,0.15,43.94,63.57,53.2,49.53,MA 
20200411,10.34,0.04,43.94,63.57,53.2,49.53,MA 
20200412,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200413,10.34,0.05,43.94,63.57,53.2,49.53,MA 
20200414,10.34,0.41,43.94,63.57,53.2,49.53,MA 
20200415,10.34,0.15,43.94,63.57,53.2,49.53,MA 
20200416,10.34,0.08,43.94,63.57,53.2,49.53,MA 
20200417,10.34,0.0,43.94,63.57,53.2,49.53,MA 
20200418,10.34,0.72,43.94,63.57,53.2,49.53,MA 
